09:54:01:659->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (6ª cópia).flow selecionado para descriptografia.
09:54:01:758->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (6ª cópia).flow descriptografado.
09:54:01:758->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (3ª cópia).flow selecionado para descriptografia.
09:54:01:854->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (3ª cópia).flow descriptografado.
09:54:01:855->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (7ª cópia).flow selecionado para descriptografia.
09:54:01:963->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (7ª cópia).flow descriptografado.
09:54:01:963->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200.flow selecionado para descriptografia.
09:54:02:060->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200.flow descriptografado.
09:54:02:060->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/983794168.jpg selecionado para descriptografia.
09:54:02:163->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/983794168.jpg descriptografado.
09:54:02:163->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (8ª cópia).flow selecionado para descriptografia.
09:54:02:261->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (8ª cópia).flow descriptografado.
09:54:02:261->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (5ª cópia).flow selecionado para descriptografia.
09:54:02:357->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (5ª cópia).flow descriptografado.
09:54:02:357->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (9ª cópia).flow selecionado para descriptografia.
09:54:02:453->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/teste123/encript/2022000001_HOVSLOCAL_108_1297_20220526145716200 (9ª cópia).flow descriptografado.
